Features,AUC,Accuracy,Precision,Kappa
10,0.9948051948051948,0.9822485207100592,0.9285714285714286,0.8868556125864763
50,0.9943722943722944,0.9822485207100592,0.9285714285714286,0.8868556125864763
100,0.9948051948051948,0.9822485207100592,0.9285714285714286,0.8868556125864763
500,0.9952380952380953,0.9822485207100592,0.9285714285714286,0.8868556125864763
1000,0.9952380952380953,0.9881656804733728,0.9333333333333333,0.9268398268398268
